               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.070201,            0.054901,            0.060289,             0.57313,            0.082105,            0.037949,             0.01251,            0.074725,            0.050325,            0.063986,            0.007624,            0.007624,            0.007624
                  74,            0.069498,             0.05906,            0.059183,             0.50673,             0.16209,            0.091375,            0.029758,            0.073129,            0.048106,            0.063929,            0.007591,            0.007591,            0.007591
                  75,             0.06748,            0.055224,            0.060178,              0.5226,             0.15512,             0.10817,            0.030802,            0.074099,            0.050435,            0.064053,            0.007558,            0.007558,            0.007558
                  76,             0.07034,            0.053102,            0.059334,             0.52725,              0.1518,              0.1026,            0.040206,            0.070302,            0.048665,            0.063829,            0.007525,            0.007525,            0.007525
                  77,             0.07061,            0.047917,            0.060555,             0.49207,              0.1158,            0.068216,            0.021286,             0.08229,            0.048905,            0.064302,            0.007492,            0.007492,            0.007492
                  78,            0.067077,            0.049739,             0.05887,             0.55864,             0.14116,             0.08456,            0.025876,            0.070987,            0.048948,            0.063784,            0.007459,            0.007459,            0.007459
                  79,            0.065006,            0.049738,            0.060134,             0.51866,             0.13012,            0.083843,            0.026018,            0.078198,            0.047878,            0.063736,            0.007426,            0.007426,            0.007426
                  80,             0.06954,            0.052875,            0.060555,             0.55021,             0.14692,             0.10791,            0.037245,            0.070008,            0.047333,            0.063353,            0.007393,            0.007393,            0.007393
                  81,            0.067284,            0.051886,            0.058869,             0.49973,             0.15325,            0.074496,             0.02918,            0.073301,             0.04694,            0.063305,             0.00736,             0.00736,             0.00736
                  82,            0.066486,            0.058428,             0.05967,             0.60246,            0.067598,            0.041626,            0.016021,             0.06882,            0.048217,            0.063166,            0.007327,            0.007327,            0.007327
                  83,            0.065263,            0.053115,            0.058398,             0.54383,             0.17633,             0.11431,            0.039765,            0.075354,            0.045795,            0.063214,            0.007294,            0.007294,            0.007294
                  84,            0.067357,            0.054509,            0.058782,             0.50565,             0.15157,            0.098064,            0.037351,            0.069646,            0.045459,            0.063018,            0.007261,            0.007261,            0.007261
                  85,            0.067034,            0.052501,            0.058744,             0.54126,             0.17694,             0.12291,            0.051488,            0.068775,            0.045654,            0.062961,            0.007228,            0.007228,            0.007228
                  86,             0.06454,            0.044695,            0.060118,              0.5318,             0.17909,             0.11309,            0.039194,             0.07006,            0.046826,            0.063065,            0.007195,            0.007195,            0.007195
                  87,            0.067358,             0.05183,            0.058438,             0.55543,             0.17192,             0.12352,            0.055092,            0.068684,            0.046224,            0.062751,            0.007162,            0.007162,            0.007162
                  88,            0.061513,            0.049182,            0.060155,             0.54988,             0.17287,             0.12591,            0.042848,            0.067169,            0.047398,            0.062756,            0.007129,            0.007129,            0.007129
                  89,            0.064777,            0.048713,            0.059031,             0.53907,             0.16638,             0.13125,            0.048677,            0.069424,            0.044871,            0.062657,            0.007096,            0.007096,            0.007096
                  90,             0.06469,            0.044234,            0.059766,             0.56276,             0.16728,             0.13436,            0.048204,             0.07029,            0.044969,            0.062584,            0.007063,            0.007063,            0.007063
                  91,            0.062208,             0.04787,            0.057583,             0.56262,             0.17331,             0.13327,            0.056937,            0.066955,            0.045351,            0.062363,             0.00703,             0.00703,             0.00703
                  92,            0.066623,            0.048147,             0.05825,             0.55161,             0.16589,             0.11489,            0.035781,            0.071998,            0.046532,            0.062354,            0.006997,            0.006997,            0.006997
                  93,            0.067158,            0.054238,            0.060244,             0.55311,             0.18491,             0.14209,            0.061271,            0.067557,            0.045378,            0.062304,            0.006964,            0.006964,            0.006964
                  94,            0.061305,            0.048679,            0.058344,             0.56909,             0.16011,             0.12583,            0.045462,            0.066585,            0.046718,            0.062152,            0.006931,            0.006931,            0.006931
                  95,            0.059189,            0.050681,            0.058577,             0.54569,             0.15362,             0.13392,            0.051681,            0.068074,            0.045527,            0.062239,            0.006898,            0.006898,            0.006898
                  96,            0.063632,            0.054746,            0.056925,             0.56999,             0.16229,             0.11212,            0.037676,            0.069139,            0.045514,            0.062448,            0.006865,            0.006865,            0.006865
                  97,             0.06334,            0.053672,            0.057405,             0.55352,             0.15295,             0.13726,            0.057662,            0.065668,            0.044994,             0.06216,            0.006832,            0.006832,            0.006832
                  98,            0.061667,            0.044764,            0.058695,             0.52382,             0.15274,             0.10187,             0.04039,            0.069404,            0.046281,            0.062185,            0.006799,            0.006799,            0.006799
                  99,            0.063296,            0.052448,            0.057772,             0.56022,             0.17001,             0.14396,            0.059872,            0.067999,            0.046637,            0.061948,            0.006766,            0.006766,            0.006766
                 100,            0.063099,            0.052184,            0.057968,             0.59315,             0.15885,             0.15226,            0.063325,            0.065434,            0.048264,            0.061828,            0.006733,            0.006733,            0.006733
                 101,            0.064276,            0.045956,            0.057935,             0.56362,             0.16374,             0.12813,            0.055663,            0.069164,            0.046412,            0.061799,              0.0067,              0.0067,              0.0067
                 102,            0.062249,            0.049426,            0.056915,             0.58993,              0.1769,             0.15061,            0.060051,            0.065267,            0.044972,            0.061883,            0.006667,            0.006667,            0.006667
                 103,            0.059812,            0.053399,             0.05804,             0.57457,             0.16686,             0.15473,            0.060142,            0.064827,            0.045464,            0.061902,            0.006634,            0.006634,            0.006634
                 104,            0.062088,            0.051157,            0.057306,              0.5739,             0.17987,             0.14789,            0.052011,            0.066201,            0.044955,            0.061893,            0.006601,            0.006601,            0.006601
                 105,            0.061317,             0.04968,             0.05696,             0.56955,             0.15596,             0.15373,            0.066625,            0.067417,            0.044291,            0.061728,            0.006568,            0.006568,            0.006568
                 106,            0.062221,            0.046916,            0.057036,             0.58554,              0.1822,             0.14126,            0.055373,            0.064084,            0.044577,            0.061829,            0.006535,            0.006535,            0.006535
